Name,Availability,Artikel Nummer,Price €,Details,Description,Images
Paris Hobnail Jug 2L Amber,Item in Stock (2 pcs),100-1,"49.5
                }
            ]
        });
        
        
        
        
        
                    gtag('event'","Produktinformation_Volume_2000 ml• 67.6 oz,Produktinformation_Diameter_18 cm• 7.1in,Produktinformation_Height_23 cm• 9.1 in,Produktinformation_Weight_2 kg• 4.4 lbs","<span style=""font-family: Roboto, sans-serif;"">This elegant jug ordained with the traditional hobnail pattern native to Bohemia, Czech Republic is a delightful and useful piece for any occasion. It is mouth-blown and 100% handmade with care and expertise. An eternal classic that now comes in an array of colours, that will fit any mood or season.</span>","https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/55-1_paris-hobnail-jug-2l-amber.jpg?6492dd22,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/55-1_paris-hobnail-jug-2l-amber.jpg?6492dd22,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/55-1_paris-hobnail-jug-2l-amber.jpg?6492dd22,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/55_d9688e27c4af15d740a81c3557051c07.jpg?6555d232,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/55_d9688e27c4af15d740a81c3557051c07.jpg?6555d232,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/55-2_paris-hobnail-jug-2l-amber.jpg?65d6299b,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/55-2_paris-hobnail-jug-2l-amber.jpg?65d6299b,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/55-3_paris-hobnail-jug-2l-amber.jpg?66fb930f,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/55-3_paris-hobnail-jug-2l-amber.jpg?66fb930f"
Paris Hobnail Jug 2L Amber + Dark Blue Smoke,Item in Stock (31 pcs),100-1/77,"52.5
                }
            ]
        });
        
        
        
        
        
                    gtag('event'","Produktinformation_Volume_2000 ml• 67.6 oz,Produktinformation_Diameter_18 cm• 7.1in,Produktinformation_Height_23 cm• 9.1 in,Produktinformation_Weight_2 kg• 4.4 lbs","<span style=""font-family: Roboto, sans-serif;"">This elegant jug ordained with the traditional hobnail pattern native to Bohemia, Czech Republic is a delightful and useful piece for any occasion. It is mouth-blown and 100% handmade with care and expertise. An eternal classic that now comes in an array of colours, that will fit any mood or season.</span>","https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/5122-1_paris-hobnail-jug-2l-amber-dark-blue-smoke.jpg?65ddef36,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/5122-1_paris-hobnail-jug-2l-amber-dark-blue-smoke.jpg?65ddef36,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/5122-1_paris-hobnail-jug-2l-amber-dark-blue-smoke.jpg?65ddef36,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/5122_ambiente-2024-13.jpg?65d62d3d,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/5122_ambiente-2024-13.jpg?65d62d3d"
Paris Hobnail Jug 2L Crystal,Preorder N/A,100-10,"49.5
                }
            ]
        });
        
        
        
        
        
                    gtag('event'","Produktinformation_Volume_2000 ml• 67.6 oz,Produktinformation_Diameter_18 cm• 7.1in,Produktinformation_Height_23 cm• 9.1 in,Produktinformation_Weight_2 kg• 4.4 lbs",N/A,"https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-2_paris-hobnail-jug-2l-crystal.jpg?6492d6aa,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-2_paris-hobnail-jug-2l-crystal.jpg?6492d6aa,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-2_paris-hobnail-jug-2l-crystal.jpg?6492d6aa,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-1_myql-img-7240.jpg?6483141b,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-1_myql-img-7240.jpg?6483141b,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367_mix-jugs--1.jpg?65439e61,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367_mix-jugs--1.jpg?65439e61,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-3_paris-hobnail-jug-2l-crystal.jpg?6549f7fc,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-3_paris-hobnail-jug-2l-crystal.jpg?6549f7fc,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-4_paris-hobnail-jug-2l-crystal.jpg?6549f80c,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-4_paris-hobnail-jug-2l-crystal.jpg?6549f80c,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-5_bykopenhagen-05.jpg?65d629ff,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-5_bykopenhagen-05.jpg?65d629ff,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-6_ambiente-2024-6.jpg?65d62f40,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-6_ambiente-2024-6.jpg?65d62f40,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-7_ambiente-2024-3.jpg?65d62f41,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-7_ambiente-2024-3.jpg?65d62f41,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-8_paris-hobnail-jug-2l-crystal.jpg?66600b04,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-8_paris-hobnail-jug-2l-crystal.jpg?66600b04,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-9_paris-hobnail-jug-2l-crystal.jpg?66f66641,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-9_paris-hobnail-jug-2l-crystal.jpg?66f66641,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-10_paris-hobnail-jug-2l-crystal.jpg?66f66644,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-10_paris-hobnail-jug-2l-crystal.jpg?66f66644,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-11_paris-hobnail-jug-2l-crystal.jpg?66f6664a,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-11_paris-hobnail-jug-2l-crystal.jpg?66f6664a,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-12_paris-hobnail-jug-2l-crystal.jpg?66f6664e,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-12_paris-hobnail-jug-2l-crystal.jpg?66f6664e,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-13_paris-hobnail-jug-2l-crystal.jpg?66f66652,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-13_paris-hobnail-jug-2l-crystal.jpg?66f66652,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-14_paris-hobnail-jug-2l-crystal.jpg?66f66657,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-14_paris-hobnail-jug-2l-crystal.jpg?66f66657,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-15_paris-hobnail-jug-2l-crystal.jpg?66f6665a,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-15_paris-hobnail-jug-2l-crystal.jpg?66f6665a,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-16_paris-hobnail-jug-2l-crystal.jpg?66f6665e,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-16_paris-hobnail-jug-2l-crystal.jpg?66f6665e,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-17_paris-hobnail-jug-2l-crystal.jpg?66f66666,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-17_paris-hobnail-jug-2l-crystal.jpg?66f66666,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-18_paris-hobnail-jug-2l-crystal.jpg?66f6666b,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-18_paris-hobnail-jug-2l-crystal.jpg?66f6666b,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-19_paris-hobnail-jug-2l-crystal.jpg?66f66670,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-19_paris-hobnail-jug-2l-crystal.jpg?66f66670,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-20_paris-hobnail-jug-2l-crystal.jpg?66f66673,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-20_paris-hobnail-jug-2l-crystal.jpg?66f66673,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-21_paris-hobnail-jug-2l-crystal.jpg?66f66676,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-21_paris-hobnail-jug-2l-crystal.jpg?66f66676,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-22_paris-hobnail-jug-2l-crystal.jpg?66f66679,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-22_paris-hobnail-jug-2l-crystal.jpg?66f66679,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-23_paris-hobnail-jug-2l-crystal.jpg?66f6667d,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-23_paris-hobnail-jug-2l-crystal.jpg?66f6667d,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-24_paris-hobnail-jug-2l-crystal.jpg?66f66682,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-24_paris-hobnail-jug-2l-crystal.jpg?66f66682,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-25_paris-hobnail-jug-2l-crystal.jpg?66f66686,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-25_paris-hobnail-jug-2l-crystal.jpg?66f66686,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-26_paris-hobnail-jug-2l-crystal.jpg?66f6668d,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-26_paris-hobnail-jug-2l-crystal.jpg?66f6668d,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-27_paris-hobnail-jug-2l-crystal.jpg?66f6669b,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-27_paris-hobnail-jug-2l-crystal.jpg?66f6669b,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-28_paris-hobnail-jug-2l-crystal.jpg?66f666a8,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-28_paris-hobnail-jug-2l-crystal.jpg?66f666a8,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-29_paris-hobnail-jug-2l-crystal.jpg?66f666b0,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-29_paris-hobnail-jug-2l-crystal.jpg?66f666b0,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-30_paris-hobnail-jug-2l-crystal.jpg?66f666b4,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-30_paris-hobnail-jug-2l-crystal.jpg?66f666b4,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-31_paris-hobnail-jug-2l-crystal.jpg?66f666bd,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-31_paris-hobnail-jug-2l-crystal.jpg?66f666bd,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-32_paris-hobnail-jug-2l-crystal.jpg?66f666c2,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-32_paris-hobnail-jug-2l-crystal.jpg?66f666c2,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-33_paris-hobnail-jug-2l-crystal.jpg?66f666c8,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-33_paris-hobnail-jug-2l-crystal.jpg?66f666c8,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-34_paris-hobnail-jug-2l-crystal.jpg?66f666cc,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/367-34_paris-hobnail-jug-2l-crystal.jpg?66f666cc"
Opaline Paris Hobnail Jug 2L Creamy White,Item in Stock (14 pcs),100-101,"55
                }
            ]
        });
        
        
        
        
        
                    gtag('event'","Produktinformation_Volume_2000 ml• 67.6 oz,Produktinformation_Diameter_18 cm• 7.1in,Produktinformation_Height_23 cm• 9.1 in,Produktinformation_Weight_2 kg• 4.4 lbs","<span style=""font-family: Roboto, sans-serif;"">This elegant jug ordained with the traditional hobnail pattern native to Bohemia, Czech Republic is a delightful and useful piece for any occasion. It is mouth-blown and 100% handmade with care and expertise. An eternal classic that now comes in an array of colours, that will fit any mood or season.</span>",https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/5496_opaline-paris-hobnail-jug-2l-creamy-white.jpg?66cc6f37
Paris Hobnail Jug 2L Citron,Preorder N/A,100-12,"49.5
                }
            ]
        });
        
        
        
        
        
                    gtag('event'","Produktinformation_Volume_2000 ml• 67.6 oz,Produktinformation_Diameter_18 cm• 7.1in,Produktinformation_Height_23 cm• 9.1 in,Produktinformation_Weight_2 kg• 4.4 lbs",N/A,"https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/313-2_paris-hobnail-jug-2l-citron.jpg?6492d692,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/313-2_paris-hobnail-jug-2l-citron.jpg?6492d692,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/313-2_paris-hobnail-jug-2l-citron.jpg?6492d692,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/313-1_mg7f-img-6414-min.jpg?6483141b,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/313-1_mg7f-img-6414-min.jpg?6483141b,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/313_paris-hobnail-jug-2l-citron.jpg?6549f791,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/313_paris-hobnail-jug-2l-citron.jpg?6549f791,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/313-4_297688522-460653535969581-8443840532481559699-n.jpg?6555d4b5,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/313-4_297688522-460653535969581-8443840532481559699-n.jpg?6555d4b5,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/313-5_ambiente-2024-9.jpg?65d62e42,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/313-5_ambiente-2024-9.jpg?65d62e42,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/313-6_ambiente-2024-6.jpg?65d62e44,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/313-6_ambiente-2024-6.jpg?65d62e44,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/313-7_ambiente-2024-3.jpg?65d62e46,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/313-7_ambiente-2024-3.jpg?65d62e46"
Paris Hobnail Jug 2L Light Blue,Preorder N/A,100-14,"49.5
                }
            ]
        });
        
        
        
        
        
                    gtag('event'","Produktinformation_Volume_2000 ml• 67.6 oz,Produktinformation_Diameter_18 cm• 7.1in,Produktinformation_Height_23 cm• 9.1 in,Produktinformation_Weight_2 kg• 4.4 lbs",N/A,"https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/502-1_paris-hobnail-jug-2l-light-blue.jpg?6492d8ea,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/502-1_paris-hobnail-jug-2l-light-blue.jpg?6492d8ea,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/502-1_paris-hobnail-jug-2l-light-blue.jpg?6492d8ea,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/502_ambiente-2024-6.jpg?65d62f75,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/502_ambiente-2024-6.jpg?65d62f75,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/502-2_ambiente-2024-3.jpg?65d62f77,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/502-2_ambiente-2024-3.jpg?65d62f77"
Opaline Paris Hobnail Jug 2L Pastel Blue,Item in Stock (16 pcs),100-141,"55
                }
            ]
        });
        
        
        
        
        
                    gtag('event'","Produktinformation_Volume_2000 ml• 67.6 oz,Produktinformation_Diameter_18 cm• 7.1in,Produktinformation_Height_23 cm• 9.1 in,Produktinformation_Weight_2 kg• 4.4 lbs","<span style=""font-family: Roboto, sans-serif;"">This elegant jug ordained with the traditional hobnail pattern native to Bohemia, Czech Republic is a delightful and useful piece for any occasion. It is mouth-blown and 100% handmade with care and expertise. An eternal classic that now comes in an array of colours, that will fit any mood or season.</span>",https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/5499_opaline-paris-hobnail-jug-2l-pastel-blue.jpg?66cc6fab
Paris Hobnail Jug 2L Light Green,Item in Stock (9 pcs),100-21,"49.5
                }
            ]
        });
        
        
        
        
        
                    gtag('event'","Produktinformation_Volume_2000 ml• 67.6 oz,Produktinformation_Diameter_18 cm• 7.1in,Produktinformation_Height_23 cm• 9.1 in,Produktinformation_Weight_2 kg• 4.4 lbs",N/A,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/547-1_paris-hobnail-jug-2l-light-green.jpg?6492d926
Paris Hobnail Jug 2L Lavender,Preorder N/A,100-27,"49.5
                }
            ]
        });
        
        
        
        
        
                    gtag('event'","Produktinformation_Volume_2000 ml• 67.6 oz,Produktinformation_Diameter_18 cm• 7.1in,Produktinformation_Height_23 cm• 9.1 in,Produktinformation_Weight_2 kg• 4.4 lbs",N/A,"https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2826_paris-hobnail-jug-2l-lavender.jpg?64d33afc,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2826_paris-hobnail-jug-2l-lavender.jpg?64d33afc,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2826_paris-hobnail-jug-2l-lavender.jpg?64d33afc,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2826-1_paris-hobnail-jug-2l-lavender.jpg?6549e439,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2826-1_paris-hobnail-jug-2l-lavender.jpg?6549e439"
Paris Hobnail Jug 2L New Brown,Item in Stock (44 pcs),100-30,"49.5
                }
            ]
        });
        
        
        
        
        
                    gtag('event'","Produktinformation_Volume_2000 ml• 67.6 oz,Produktinformation_Diameter_18 cm• 7.1in,Produktinformation_Height_23 cm• 9.1 in,Produktinformation_Weight_2 kg• 4.4 lbs",N/A,"https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2829-1_paris-hobnail-jug-2l-new-brown.jpg?6492d9b9,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2829-1_paris-hobnail-jug-2l-new-brown.jpg?6492d9b9,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2829-1_paris-hobnail-jug-2l-new-brown.jpg?6492d9b9,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2829_mix-jugs.jpg?65449347,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2829_mix-jugs.jpg?65449347,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2829-2_paris-hobnail-jug-2l-new-brown.jpg?6549f6b3,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2829-2_paris-hobnail-jug-2l-new-brown.jpg?6549f6b3,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2829-3_ambiente-2024-4.jpg?65d63220,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2829-3_ambiente-2024-4.jpg?65d63220,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2829-4_ambiente-2024-5.jpg?65d63222,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2829-4_ambiente-2024-5.jpg?65d63222"
Paris Hobnail Jug 2L Olivegreen,Preorder N/A,100-32,"49.5
                }
            ]
        });
        
        
        
        
        
                    gtag('event'","Produktinformation_Volume_2000 ml• 67.6 oz,Produktinformation_Diameter_18 cm• 7.1in,Produktinformation_Height_23 cm• 9.1 in,Produktinformation_Weight_2 kg• 4.4 lbs",N/A,"https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/1123-1_paris-hobnail-jug-2l-olivegreen.jpg?6492d9d0,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/1123-1_paris-hobnail-jug-2l-olivegreen.jpg?6492d9d0,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/1123-1_paris-hobnail-jug-2l-olivegreen.jpg?6492d9d0,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/1123_paris-hobnail-jug-2l-olivegreen.jpg?6549e107,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/1123_paris-hobnail-jug-2l-olivegreen.jpg?6549e107,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/1123-2_paris-hobnail-jug-2l-olivegreen.jpg?6549e3f1,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/1123-2_paris-hobnail-jug-2l-olivegreen.jpg?6549e3f1,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/1123-3_paris-hobnail-jug-2l-olivegreen.jpg?6549f386,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/1123-3_paris-hobnail-jug-2l-olivegreen.jpg?6549f386,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/1123-4_paris-hobnail-jug-2l-olivegreen.jpg?6549f683,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/1123-4_paris-hobnail-jug-2l-olivegreen.jpg?6549f683,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/1123-5_bykopenhagen-10.jpg?65d62ab1,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/1123-5_bykopenhagen-10.jpg?65d62ab1,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/1123-6_paris-hobnail-jug-2l-olivegreen.jpg?65d62b3e,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/1123-6_paris-hobnail-jug-2l-olivegreen.jpg?65d62b3e,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/1123-7_ambiente-2024-4.jpg?65d63207,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/1123-7_ambiente-2024-4.jpg?65d63207,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/1123-8_ambiente-2024-5.jpg?65d63209,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/1123-8_ambiente-2024-5.jpg?65d63209,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/1123-9_paris-hobnail-jug-2l-olivegreen.jpg?66f670bc,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/1123-9_paris-hobnail-jug-2l-olivegreen.jpg?66f670bc,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/1123-10_paris-hobnail-jug-2l-olivegreen.jpg?66f670bf,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/1123-10_paris-hobnail-jug-2l-olivegreen.jpg?66f670bf,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/1123-11_paris-hobnail-jug-2l-olivegreen.jpg?66f670c1,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/1123-11_paris-hobnail-jug-2l-olivegreen.jpg?66f670c1,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/1123-12_paris-hobnail-jug-2l-olivegreen.jpg?66f670c4,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/1123-12_paris-hobnail-jug-2l-olivegreen.jpg?66f670c4,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/1123-13_paris-hobnail-jug-2l-olivegreen.jpg?66f670c7,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/1123-13_paris-hobnail-jug-2l-olivegreen.jpg?66f670c7,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/1123-14_paris-hobnail-jug-2l-olivegreen.jpg?66f670ca,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/1123-14_paris-hobnail-jug-2l-olivegreen.jpg?66f670ca,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/1123-15_paris-hobnail-jug-2l-olivegreen.jpg?66f670ce,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/1123-15_paris-hobnail-jug-2l-olivegreen.jpg?66f670ce,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/1123-16_paris-hobnail-jug-2l-olivegreen.jpg?66f670d1,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/1123-16_paris-hobnail-jug-2l-olivegreen.jpg?66f670d1,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/1123-17_paris-hobnail-jug-2l-olivegreen.jpg?66f670d4,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/1123-17_paris-hobnail-jug-2l-olivegreen.jpg?66f670d4,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/1123-18_paris-hobnail-jug-2l-olivegreen.jpg?66f670d9,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/1123-18_paris-hobnail-jug-2l-olivegreen.jpg?66f670d9,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/1123-19_paris-hobnail-jug-2l-olivegreen.jpg?66f670dc,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/1123-19_paris-hobnail-jug-2l-olivegreen.jpg?66f670dc,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/1123-20_paris-hobnail-jug-2l-olivegreen.jpg?66f670e1,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/1123-20_paris-hobnail-jug-2l-olivegreen.jpg?66f670e1,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/1123-21_paris-hobnail-jug-2l-olivegreen.jpg?66f670e4,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/1123-21_paris-hobnail-jug-2l-olivegreen.jpg?66f670e4,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/1123-22_paris-hobnail-jug-2l-olivegreen.jpg?66f670e6,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/1123-22_paris-hobnail-jug-2l-olivegreen.jpg?66f670e6"
